2025-06-11 17:26:43 2121 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$b6292ef1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-06-11 17:26:44 3413 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-06-11 17:26:44 3504 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2025-06-11 17:26:44 3508 [main] INFO  com.kjz.admin.AdminApplication - The following profiles are active: sit
2025-06-11 17:26:45 4546 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-11 17:26:45 4550 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-11 17:26:45 4577 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
2025-06-11 17:26:46 4935 [main] INFO  o.s.c.context.scope.GenericScope - BeanFactory id=719d5922-36a8-36dd-bde1-864086cb0b38
2025-06-11 17:26:46 5419 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$b6292ef1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-06-11 17:26:47 5797 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2025-06-11 17:26:47 5808 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-11 17:26:47 5809 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2025-06-11 17:26:47 5930 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-11 17:26:47 5931 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2402 ms
2025-06-11 17:26:47 6039 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-06-11 17:26:48 6856 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} inited
2025-06-11 17:26:48 7480 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} closed
2025-06-11 17:26:48 7481 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-06-11 17:26:48 7496 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-06-11 18:07:47 1982 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$82797e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-06-11 18:07:48 3298 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-06-11 18:07:49 3403 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2025-06-11 18:07:49 3407 [main] INFO  com.kjz.admin.AdminApplication - The following profiles are active: sit
2025-06-11 18:07:50 4411 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-11 18:07:50 4413 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-11 18:07:50 4444 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2025-06-11 18:07:50 4787 [main] INFO  o.s.c.context.scope.GenericScope - BeanFactory id=719d5922-36a8-36dd-bde1-864086cb0b38
2025-06-11 18:07:50 5206 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$82797e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2025-06-11 18:07:51 5562 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2025-06-11 18:07:51 5573 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-11 18:07:51 5573 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2025-06-11 18:07:51 5707 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-11 18:07:51 5708 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2271 ms
2025-06-11 18:07:51 5838 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-06-11 18:07:52 6600 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} inited
2025-06-11 18:07:52 7233 [main] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1} closed
2025-06-11 18:07:52 7234 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2025-06-11 18:07:52 7249 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
